Names
 Dheere Dheere Chalna from Dulhan Hum Le Jayenge
 Chhamiya from Dulhan Hum Le Jayenge
 Thodi Si Beqarari from Chal Mere Bhai
 Tumse Jo Dekhte Hi Pyar Hua from Patthar Ke Phool
 Dil Dil Deewana from Har Dil Jo Pyar Karega
 Ek Garam Chai Ki Pyali Ho from Har Dil Jo Pyar Karega
 Dhin Tara Dhin Tara from Kahin Pyaar Na Ho Jaaye
 Tu Muskura from Yuvraj
 Dekhne Walon Ne from Chori Chori Chupke Chupke
 Kyon Khanke Teri Choodi from Tumko Na Bhool Paayenge
 Bindiya Chamke Choodi Khanke from Tumko Na Bhool Paayenge
 Aankhen Pyari Hain from Yeh Hai Jalwa
 Jeene Ke Hain Chaar Din from Mujhse Shaadi Karogi
 Aaja Soniye from Mujhse Shaadi Karogi
 Hum Tum Ko Nigahon Mein from Garv
 Sun Mere Sajna from Nischay
 Nayee Surahi Taza Paani from Nischay
 I Am Very Very Sorry Tera Naam from Chand Ka Tukda
 Jab Tum Chaho from Prem Ratan Dhan Payo
 Shayad Yahi To Pyar Hai from Lucky No Time for Love
 Dil Leke from Wanted
 Love Me Love Me from Wanted
 Kuch Bhi Nahi Tha from Shaadi Karke Phas Gaya Yaar
 Ajnabi Shehar from Jaan E Mann
 Do You Wanna Partner from Partner
 You re My Love from Partner
 Man Ko Ati Bhavey from London Dreams
 Character Dheela from Ready
 Baby Ko Bass Pasand Hai from Sultan
I randomly picked of my favourite Salman Khan songs and it was a difficult task 
Hum Dil De Chuke Sanam
Meine Pyar Kiya Saajan Hum Aapke Hain Kaun Pyar Kiya To Darna Kya Tere Naam
 Dekha Hai Pehla Baar from Saajan 
 Bahon Ke Darmiyan from Khamoshi The Musical 
 Odli Chunariya from Pyaar Kiya Toh Darna Kya 
 Chaand Chhupa Badal Mein from Hum Dil De Chuke Sanam 
 Aankhon Ki Gustakhiyan from Hum Dil De Chuke Sanam 
 Tadap Tadap from Hum Dil De Chuke Sanam 
 Hai Na Bolo from Dulhan Hum Le Jayenge 
 Title Track from Kahin Pyaar Na Ho Jaaye 
 Pardesi from Kahin Pyaar Na Ho Jaaye 
 Tumse Milna from Tere Naam 
 Laga Laga Laga Re from Meine Pyar Kyon Kiya 
 Sau Dard Hai from Jaan E Mann 
 Teri Meri Prem Kahani from Bodyguard 
 Jalte Diye from Prem Ratan Dhan Payo 
 Jag Ghoomeya from Sultan 
